module style:300ZI; drdy:True;   burst read:True; single read:False 
time:  0.365199;  status:                   0 ; gyro:                       -0.03125, -0.03125, 0.03125;  accel:                 0.0015, 0.02925, 0.9965; temp:32.096667592741525; mag:          
time:  0.370033;  status:                   0 ; gyro:                           -0.078125, 0.0, 0.03125;  accel:                0.0015, 0.02925, 0.99625; temp:32.096667592741525; mag:          
time:  0.374878;  status:                   0 ; gyro:                           -0.109375, 0.0, 0.03125;  accel:                 0.00175, 0.029, 0.99625; temp:32.096667592741525; mag:          
time:  0.379695;  status:                   0 ; gyro:                           -0.140625, 0.0, 0.03125;  accel:                 0.002, 0.02875, 0.99625; temp:32.096667592741525; mag:          
time:  0.384474;  status:                   0 ; gyro:                          -0.140625, 0.0, 0.015625;  accel:                 0.002, 0.02875, 0.99625; temp:32.096667592741525; mag:          
time:  0.389309;  status:                   0 ; gyro:                          -0.09375, -0.046875, 0.0;  accel:                 0.00175, 0.02875, 0.996; temp:32.096667592741525; mag:          
time:  0.394081;  status:                   0 ; gyro:                        -0.0625, -0.0625, 0.015625;  accel:                 0.0015, 0.02875, 0.9955; temp:32.096667592741525; mag:          
time:  0.398936;  status:                   0 ; gyro:                     -0.015625, -0.078125, 0.03125;  accel:                0.0015, 0.02875, 0.99525; temp:32.096667592741525; mag:          
time:  0.403711;  status:                   0 ; gyro:                             0.0, -0.09375, 0.0625;  accel:                0.0015, 0.02875, 0.99575; temp:32.096667592741525; mag:          
time:  0.408562;  status:                   0 ; gyro:                     0.015625, -0.078125, 0.078125;  accel:                   0.0015, 0.029, 0.9965; temp:32.096667592741525; mag:          
time:  0.413380;  status:                   0 ; gyro:                        0.078125, -0.0625, 0.09375;  accel:                    0.002, 0.029, 0.9975; temp:32.096667592741525; mag:          
time:  0.418223;  status:                   0 ; gyro:                         0.125, -0.015625, 0.09375;  accel:                   0.002, 0.029, 0.99825; temp:32.096667592741525; mag:          
